x, y, output
0.84, 0.36, 0.27420774141738424
0.88, 0.36, 0.3194436067217242
0.92, 0.36, 0.3680813697054611
0.96, 0.36, 0.41912066592264746
0.0, 0.4, 0.008562799849891278
0.04, 0.4, 0.00985529941899765
0.08, 0.4, 0.011405359673994817
0.12, 0.4, 0.013271565397913349
0.16, 0.4, 0.015526670766947404
0.2, 0.4, 0.018260956875873105
0.24, 0.4, 0.021586243029019573
0.28, 0.4, 0.025640573704906085
0.32, 0.4, 0.030593523198285517
0.36, 0.4, 0.036651919682405366
0.4, 0.4, 0.044065563697525165
0.44, 0.4, 0.053132174947441144
0.48, 0.4, 0.06420032569620207
0.52, 0.4, 0.07766851670694229
0.56, 0.4, 0.09397789224645567
0.6, 0.4, 0.11359555370202425
0.64, 0.4, 0.13698535353219862
0.68, 0.4, 0.16456393355982882
0.72, 0.4, 0.19664217376081028
0.76, 0.4, 0.23335645945785666
0.8, 0.4, 0.27459983925818066
0.84, 0.4, 0.3199685960527918
0.88, 0.4, 0.3687421586618527
0.92, 0.4, 0.4199106970291194
0.96, 0.4, 0.47225416476006243
0.0, 0.44, 0.009808335628235361
0.04, 0.44, 0.011352535830760615
0.08, 0.44, 0.013212317033807595
0.12, 0.44, 0.015460467324579931
0.16, 0.44, 0.018187353957655934
0.2, 0.44, 0.02150495908003544
0.24, 0.44, 0.02555159909434203
0.28, 0.44, 0.03049727086258377
0.32, 0.44, 0.03654942684382549
0.36, 0.44, 0.043958752679533024
0.4, 0.44, 0.05302417624266832
0.44, 0.44, 0.0640958561066315
0.48, 0.44, 0.0775742871552692
0.52, 0.44, 0.09390299185280913
0.56, 0.44, 0.11355171932658902
0.6, 0.44, 0.136986992786912
0.64, 0.44, 0.1646277384451655
0.68, 0.44, 0.19678616588055758
0.72, 0.44, 0.23359837608553655
0.76, 0.44, 0.27495492267069843
0.8, 0.44, 0.3204470724457859
0.84, 0.44, 0.3693469185366148
0.88, 0.44, 0.420635801152029
0.92, 0.44, 0.4730846937710436
0.96, 0.44, 0.5253751240431533
0.0, 0.48, 0.01130338310180125
0.04, 0.48, 0.01315709816622458
0.08, 0.48, 0.01539866214186682
0.12, 0.48, 0.01811851573893265
0.16, 0.48, 0.021428784525697454
0.2, 0.48, 0.0254680283154107
0.24, 0.48, 0.030406626011542103
0.28, 0.48, 0.03645259840303487
0.32, 0.48, 0.043857441132555505
0.36, 0.48, 0.05292119244610322
0.4, 0.48, 0.06399547418763321
0.44, 0.48, 0.07748262689893938
0.48, 0.48, 0.09382838148199325
0.52, 0.48, 0.11350495459367235
0.56, 0.48, 0.13698136950456163
0.6, 0.48, 0.16467870612910848
0.64, 0.48, 0.19691045279574024
0.68, 0.48, 0.23381249881574045
0.72, 0.48, 0.27527313572824536
0.76, 0.48, 0.3208790226474501
0.8, 0.48, 0.3698954804354278
0.84, 0.48, 0.421295675878766
0.88, 0.48, 0.473842255652686
0.92, 0.48, 0.5262096845268136
0.96, 0.48, 0.5771222508386147
0.0, 0.52, 0.013105975432523165
0.04, 0.52, 0.015341341840965632
0.08, 0.52, 0.01805455304617279
0.12, 0.52, 0.02135785914558385
0.16, 0.52, 0.02539003528080582
0.2, 0.52, 0.030321802097302987
0.24, 0.52, 0.03636169262805732
0.28, 0.52, 0.04376193672959056
0.32, 0.52, 0.0528235837325678
0.36, 0.52, 0.06389959314334669
0.4, 0.52, 0.07739399880674552
0.44, 0.52, 0.09375456496194558
0.48, 0.52, 0.11345578892927322
0.52, 0.52, 0.1369690159418969
0.56, 0.52, 0.16471734191346793
0.6, 0.52, 0.19701547816215487
0.64, 0.52, 0.23399917423200575
0.68, 0.52, 0.2755546977343895
0.72, 0.52, 0.321264520291069
0.76, 0.52, 0.37038777108817955
0.8, 0.52, 0.42189011899575046
0.84, 0.52, 0.4745265539266945
0.88, 0.52, 0.5269650315321798
0.92, 0.52, 0.5779255562808872
0.96, 0.52, 0.6263044593278718
0.0, 0.56, 0.015288590414170257
0.04, 0.56, 0.017995573597206084
0.08, 0.56, 0.021292319161113682
0.12, 0.56, 0.02531778998323664
0.16, 0.56, 0.030243008463772262
0.2, 0.56, 0.03627696378504317
0.24, 0.56, 0.043672543706651676
0.28, 0.56, 0.05273170807602274
0.32, 0.56, 0.0638086261469972
0.36, 0.56, 0.07730886912448262
0.4, 0.56, 0.09368205446539879
0.44, 0.56, 0.11340476692588215
0.48, 0.56, 0.1369504883921433
0.52, 0.56, 0.16474418605396168
0.56, 0.56, 0.19710173325313288
0.6, 0.56, 0.23415881025872207
0.64, 0.56, 0.27579990302330654
0.68, 0.56, 0.3216037262812199
0.72, 0.56, 0.37082381375880674
0.76, 0.56, 0.4224190297699898
0.8, 0.56, 0.4751373933940449
0.84, 0.56, 0.5276409149621382
0.88, 0.56, 0.5786456651799115
0.92, 0.56, 0.6270465473255036
0.96, 0.56, 0.6720024694774169
0.0, 0.6, 0.01794168209110905
0.04, 0.6, 0.02123229727076186
0.08, 0.6, 0.025251458451223785
0.12, 0.6, 0.030170450193594957
0.16, 0.6, 0.03619866184329301
0.2, 0.6, 0.043589562391089895
0.24, 0.6, 0.052645920568565055
0.28, 0.6, 0.06372298542585074
0.32, 0.6, 0.07722770631691922
0.36, 0.6, 0.09361136912516246
0.4, 0.6, 0.11335244678203675
0.44, 0.6, 0.1369263655409428
0.48, 0.6, 0.16475981216516059
0.52, 0.6, 0.19716975557459943
0.56, 0.6, 0.234291875150357
0.6, 0.6, 0.27600912045400794
0.64, 0.6, 0.3218968888533887
0.68, 0.6, 0.37120372883623626
0.72, 0.6, 0.4228824099446573
0.76, 0.6, 0.4756746813464775
0.8, 0.6, 0.5282371817686314
0.84, 0.6, 0.5792824010764404
0.88, 0.6, 0.627703904678037
0.92, 0.6, 0.672661433258936
0.96, 0.6, 0.7136153936180182
0.0, 0.64, 0.021177922702743004
0.04, 0.64, 0.02519120272663278
0.08, 0.64, 0.030104327980748292
0.12, 0.64, 0.03612703220864583
0.16, 0.64, 0.04351328875884377
0.2, 0.64, 0.052566572765353495
0.24, 0.64, 0.06364308136383652
0.28, 0.64, 0.07715097991205354
0.32, 0.64, 0.09354303362740941
0.36, 0.64, 0.11329939868548397
0.4, 0.64, 0.13689724672134515
0.44, 0.64, 0.16476482547161436
0.48, 0.64, 0.19722012726938798
0.52, 0.64, 0.2343988962157305
0.56, 0.64, 0.276182792596652
0.6, 0.64, 0.3221443433025664
0.64, 0.64, 0.37152773409750633
0.68, 0.64, 0.42328036443847245
0.72, 0.64, 0.47613842853854693
0.76, 0.64, 0.5287537770125794
0.8, 0.64, 0.5798356753379473
0.84, 0.64, 0.6282764384084277
0.88, 0.64, 0.6732364760987964
0.92, 0.64, 0.7141783567219073
0.96, 0.64, 0.7508542295446166
0.0, 0.68, 0.02513718086283085
0.04, 0.68, 0.03004483802804045
0.08, 0.68, 0.03606231548519741
0.12, 0.68, 0.043444014021580005
0.16, 0.68, 0.05249401205775548
0.2, 0.68, 0.06356932162577017
0.24, 0.68, 0.07707915935341302
0.28, 0.68, 0.0934775767905269
0.32, 0.68, 0.11324620314896867
0.36, 0.68, 0.13686375007758528
0.4, 0.68, 0.16475986091446235
0.44, 0.68, 0.19725347331830514
0.48, 0.68, 0.23448045828166725
0.52, 0.68, 0.2763214346111751
0.56, 0.68, 0.32234651137683634
0.6, 0.68, 0.37179614463565447
0.64, 0.68, 0.42361310173959577
0.68, 0.68, 0.4765287499108716
